微信支付账单明细
微信昵称:[小明]
起始时间:[2026-09-01 00:00:00] 终止时间:[2026-09-30 23:59:59]
导出类型:[全部]
常见问题:本账单仅供个人对账使用
----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-09-01 12:31:10,商户消费,美团外卖,美团外卖订单,支出,¥35.80,零钱,支付成功,4200001234202609011234567801,WH1001,/
2026-09-02 08:05:11,商户消费,瑞幸咖啡,生椰拿铁,支出,¥18.00,零钱,支付成功,4200001234202609021234567802,WH1002,/
2026-09-02 22:40:00,商户消费,腾讯视频,会员续费,支出,¥25.00,零钱,支付成功,4200001234202609021234567803,WH1003,/
2026-09-04 19:12:00,微信红包,张三,收到红包,收入,¥88.00,零钱,已存入零钱,4200001234202609041234567804,WH1004,/
2026-09-05 09:30:22,商户消费,滴滴出行,滴滴出行-快车,支出,¥18.60,零钱通,支付成功,4200001234202609051234567805,WH1005,/
2026-09-06 13:20:00,商户消费,麦当劳,麦乐送,支出,¥42.50,零钱,支付成功,4200001234202609061234567806,WH1006,/
2026-09-08 20:00:00,转账,李四,微信转账,不计收支,¥500.00,零钱,已转账,4200001234202609081234567807,WH1007,/
2026-09-10 11:11:11,商户消费,某某健身工作室,私教课,支出,¥600.00,零钱,支付成功,4200001234202609101234567808,WH1008,/
2026-09-11 07:50:00,商户消费,哈啰单车,骑行卡,支出,¥15.00,零钱,支付成功,4200001234202609111234567809,WH1009,/
2026-09-12 08:40:00,商户消费,美宜佳,矿泉水,支出,¥4.50,零钱,支付成功,420000123420261201234567810,WH1010,/
共10笔记录
